// SpatialAnalyzer SA 2021.3.1012.1 ( x64 )  
// Points Relative to Coordinate Frame 'Messung::WORLD'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z,  [Planar Offset],  [Radial Offset],  [Timestamp],  [Notes],  [Most Recent Active Measurement Details]

Messung,  new 1,  ACDY2,  -176531.900000,  686290.910000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ACDY3,  -180997.880000,  700898.470000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ACDY4,  -181699.570000,  703193.600000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ACF,  -179499.470000,  695997.400000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ADDY1,  -176526.780000,  675028.100000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ADDY2,  -170786.530000,  688886.290000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ADIG1,  -170786.530000,  699636.720000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ADIG2,  -170786.530000,  701450.470000,  1270.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ADIG3,  -170786.530000,  706606.290000,  1270.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AHD1,  -201237.000000,  636048.690000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AHD2,  -205389.790000,  642567.270000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AHSW41,  -227695.450000,  653179.180000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ALD,  -241421.860000,  633641.020000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ALH,  -223232.410000,  616638.820000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ALI,  -230613.500000,  622832.420000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AP,  -201237.000000,  627459.500000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASC,  -219579.430000,  658294.990000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASC1,  -219579.430000,  658294.990000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASK31,  -207522.010000,  662557.260000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASK32,  -207554.810000,  678437.260000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASK61,  -229706.510000,  650552.070000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASK71,  -226796.780000,  656792.000000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASK72,  -225563.370000,  659437.060000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASK81,  -236352.470000,  668635.920000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASK82-1,  -232862.140000,  672795.550000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASK82-2,  -232489.320000,  673239.850000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASL31,  -215215.420000,  649114.450000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASL32,  -214635.610000,  656481.670000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASL51,  -239394.030000,  651394.530000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASM11,  -220549.750000,  646152.960000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASM12,  -223135.820000,  637950.990000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASR61,  -229689.610000,  650588.330000,  11501.600000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASR62,  -228511.980000,  646193.360000,  11501.600000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASR63,  -229993.310000,  641891.260000,  11501.600000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASS31.1,  -207522.010000,  672196.260000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASS31.2,  -207554.810000,  672196.260000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AST41,  -220757.660000,  658502.740000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASX81,  -231505.680000,  655319.510000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASY51,  -235632.070000,  652057.870000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ASZ51,  -232706.540000,  654512.670000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AWA,  -221483.650000,  570084.010000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AWB,  -218898.420000,  569039.510000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AXA,  -216624.520000,  569900.010000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AXB,  -218132.470000,  570042.550000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AXC,  -222111.690000,  574021.770000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AXD,  -222111.690000,  605685.940000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AXE,  -220696.510000,  607497.290000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AYA,  -222063.690000,  584971.770000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AYB,  -220841.690000,  588846.770000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  AYD,  -211997.690000,  588366.770000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
